date,open,high,low,close,volume
2025-11-17,51.705000,53.314000,50.055000,51.025000,186327044
2025-11-18,49.985000,50.670000,47.900000,49.180000,267348016
2025-11-19,49.325000,51.575000,48.715000,50.025000,184263514
2025-11-20,52.950000,53.540000,46.230000,46.450000,178246289
2025-11-21,46.850000,49.100000,45.240000,47.480000,179618618
2025-11-24,48.700000,51.450000,48.670000,51.080000,93894159
2025-11-25,50.640000,52.360000,49.080000,52.010000,101851915
2025-11-26,52.910000,53.855000,52.370100,53.370000,75598097
2025-11-28,53.820000,54.610000,53.625000,54.540000,34381610
2025-12-01,53.110000,54.650000,52.820000,54.050000,66359590
2025-12-02,54.630000,55.760000,54.144100,55.300000,79504353
2025-12-03,54.660000,55.880000,54.232700,55.690000,69844899
2025-12-04,56.040000,56.050000,54.610000,55.510000,63957971
2025-12-05,55.860000,57.080000,55.680000,56.150000,73205980
2025-12-08,56.570000,57.040000,55.120000,55.800000,69700018
2025-12-09,55.450000,56.220000,55.090000,56.010000,48735976
2025-12-10,55.650000,57.090000,54.890000,56.650000,100261104
2025-12-11,55.630000,56.160000,53.980000,56.110000,99683926
2025-12-12,55.110000,55.520000,52.230000,52.820000,138448531
2025-12-15,54.060000,54.060000,51.720000,52.020000,98696303
2025-12-16,51.430000,52.768400,51.095000,52.330000,105953678
2025-12-17,52.650000,52.799400,49.370000,49.400000,125606247
2025-12-18,51.670000,52.460000,50.980000,51.510000,109222135
2025-12-19,52.200000,53.639900,52.190000,53.520000,72957834
2025-12-22,54.810000,54.890000,53.880000,54.250000,64783070
2025-12-23,53.970000,55.070000,53.860000,55.010000,48197058
2025-12-24,54.870000,55.450000,54.780000,55.360000,25855006
2025-12-26,55.520000,55.745000,55.110000,55.310000,37244200
2025-12-29,54.290000,54.990800,53.920000,54.490000,50635251
2025-12-30,54.200000,54.818300,54.040000,54.100000,38976810
2025-12-31,54.130000,54.200000,52.640000,52.720000,57199369
2026-01-02,54.170000,54.875000,51.610000,52.350000,107226621
2026-01-05,53.950000,54.330000,53.290000,53.600000,77968003
2026-01-06,53.920000,55.165000,53.740000,55.010000,68915803
2026-01-07,54.890000,56.190000,54.770000,55.170000,65588305
2026-01-08,54.870000,54.980000,53.495000,54.190000,83760291
2026-01-09,54.390000,56.100000,53.790000,55.760000,78706269
2026-01-12,54.600000,56.340000,54.580000,55.890000,59673897
2026-01-13,55.910000,56.500000,54.960000,55.600000,88610986
2026-01-14,54.550000,54.880000,52.500000,53.830000,117421544
2026-01-15,55.650000,55.830000,54.130000,54.380000,90482974
2026-01-16,55.320000,55.460000,53.580100,54.140000,75855865
2026-01-20,51.390000,52.560000,50.475000,50.730000,129209054
2026-01-21,51.070000,53.800000,50.670000,52.730000,150230118
